symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"fullness in ear, ringing, itching",Ear Pain,Antibiotics,Bilva Taila,Warm compress,Most ear pain resolves with proper treatment and care,No
"receding hairline, bald patches, thinning hair",Hair Loss,Multivitamins,Coconut Oil,Scalp massage,Early treatment gives better results for hair loss,No
"confusion, sunken eyes",Severe Dehydration,Glucose,Coconut Water,Call emergency,Severe dehydration requires immediate IV fluid replacement,Yes
"pale skin, heavy bleeding, dizziness",Severe Bleeding,Clotting Factors,Nagkesar,Apply direct pressure,Apply firm pressure to bleeding area and call emergency immediately,Yes
"mouth odor, bad taste, dry mouth",Bad Breath,Tongue Cleaners,Mint,Stay hydrated,Good oral hygiene and regular dental checkups prevent bad breath,No
"mucus, dry cough, chest discomfort",Common Cough,Codeine,Tulsi,Gargle with salt water,Most coughs resolve with symptomatic treatment and adequate rest,No
"throwing up, stomach pain, loss of appetite, nausea",Vomiting,Domperidone,Jeeraka,Rest,Replace lost fluids and seek help if vomiting persists,No
"loss of appetite, muscle aches, fatigue, headache",Fever,Paracetamol,Giloy,Rest in cool place,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"swelling, hives, scaling, itchy skin",Skin Allergy,Calamine,Neem,Avoid allergens,"Identify and avoid triggers, keep skin moisturized",No
"fatigue, sensitivity to light",Hangover,Electrolytes,Lemon,Rest,Time and hydration are the best cures for hangover,No
"confusion, difficulty breathing, irregular heartbeat, muscle pain",Electrocution,IV Fluids,Immediate medical care needed,Do not touch victim,Turn off power source before helping and seek immediate medical attention,Yes
"sensitivity, throbbing pain, swelling, pain while chewing, toothache",Tooth Pain,Paracetamol,Yashtimadhu,Soft foods,See dentist promptly for proper diagnosis and treatment,No
"limited movement, instability, clicking sound, stiffness",Knee Pain,Glucosamine,Nirgundi,Elevation,Maintain healthy weight and do regular low-impact exercises for knee health,No
"itchy scalp, receding hairline, excessive shedding, thinning hair, bald patches",Hair Loss,Finasteride,Bhringraj,Avoid tight hairstyles,Early treatment gives better results for hair loss,No
"extreme thirst, sunken eyes, dizziness",Severe Dehydration,IV Fluids,Immediate medical care needed,Monitor consciousness,Severe dehydration requires immediate IV fluid replacement,Yes
"difficulty breathing, productive cough, rattling sound, mucus",Wet Cough,Salbutamol,Vasaka,Steam inhalation,Expectorants help thin mucus and make coughing more productive,No
"excessive shedding, thinning hair, itchy scalp",Hair Loss,Biotin,Brahmi,Avoid tight hairstyles,Early treatment gives better results for hair loss,No
"pain in left arm, severe chest pain, nausea, jaw pain",Heart Attack,Clopidogrel,Hridayarnava Ras,Loosen tight clothing,Heart attack is a medical emergency - call 108 immediately and rush to hospital,Yes
"unable to speak, loss of consciousness, clutching throat, panic",Choking,Bronchoscopy,Immediate physical intervention required,Call emergency,Perform Heimlich maneuver immediately and call emergency services,Yes
"nausea, bloating, fullness, stomach discomfort, belching",Indigestion,Antacids,Hingwashtak Churna,Ginger tea,Eat slowly and avoid overeating to prevent indigestion,No
"confusion, face drooping",Stroke,Aspirin,Saraswatarishta,Keep person still,Time is brain - every minute matters in stroke treatment,Yes
"dizziness, urge to vomit, loss of appetite, feeling sick",Nausea,Ondansetron,Pudina,Ginger tea,Stay hydrated and eat bland foods when nauseous,No
"voice loss, throat clearing",Voice Problems,Throat Lozenges,Tulsi,Warm liquids,Rest your voice and stay hydrated for vocal cord healing,No
"swelling, difficulty walking, tenderness",Ankle Pain,Ice Packs,Mahanarayana Oil,Ankle exercises,Most ankle injuries heal with rest and appropriate care,No
"thinning hair, excessive shedding, receding hairline, bald patches, itchy scalp",Hair Loss,Finasteride,Bhringraj,Egg masks,Early treatment gives better results for hair loss,No
"knee ache, clicking sound",Knee Pain,Ibuprofen,Boswellia,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"leg ache, swelling, stiffness",Leg Pain,Topical Gels,Mahanarayana Oil,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"swelling, scaling",Skin Rash,Topical Antibiotics,Haridra,Cool compress,"Keep skin clean and moisturized, identify and avoid triggers",No
"vocal fatigue, pitch changes, voice loss, throat clearing",Voice Problems,Throat Lozenges,Honey,Voice rest,Rest your voice and stay hydrated for vocal cord healing,No
"poor focus, confusion, forgetfulness",Memory Problems,Modafinil,Shankhpushpi,Adequate sleep,Keep mind active with mental exercises and maintain healthy lifestyle,No
"irritability, early morning awakening, daytime fatigue, mood changes, frequent awakening",Insomnia,Melatonin,Ashwagandha,Relaxing bedtime routine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"runny nose, watery eyes, frequent sneezing, congestion",Sneezing,Montelukast,Trikatu,Saline rinse,Identify and avoid triggers that cause sneezing,No
"loss of appetite, nausea, belching",Indigestion,Digestive Enzymes,Ajwain,Fennel seeds,Eat slowly and avoid overeating to prevent indigestion,No
"daytime fatigue, concentration problems, frequent awakening",Insomnia,Clonazepam,Tagara,Avoid caffeine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"discoloration, tenderness, pain",Bruises,Elevation,Turmeric,Elevation,Most bruises heal naturally within 2-3 weeks,No
"fatigue, pressure, throbbing, nausea, head pain",Headache,Paracetamol,Brahmi,Gentle head massage,Most headaches respond well to rest and pain relievers,No
"gum problems, bad taste, white tongue coating, mouth odor",Bad Breath,Artificial Saliva,Fennel,Stay hydrated,Good oral hygiene and regular dental checkups prevent bad breath,No
"numbness, finger ache, swelling",Finger Pain,Ibuprofen,Nirgundi,Warm water soak,Keep fingers active with gentle exercises to maintain mobility,No
"rapid pulse, pale skin, weakness, heavy bleeding",Severe Bleeding,Platelets,Ashoka,Keep patient warm,Apply firm pressure to bleeding area and call emergency immediately,Yes
"food aversion, not feeling hungry, early satiety",Loss of Appetite,B-Complex,Hingwashtak Churna,Pleasant food presentation,Eat small frequent meals and include favorite foods to stimulate appetite,No
"risk of infection, pain, swelling",Splinters,Pain Relief,Tea Tree Oil,Remove carefully,Remove splinter completely and watch for signs of infection,No
"toothache, swelling, sensitivity, throbbing pain",Tooth Pain,Topical Anesthetics,Triphala,Cold compress,See dentist promptly for proper diagnosis and treatment,No
"headache, sweating",Motion Sickness,Scopolamine,Fennel,Fresh air,Take motion sickness medication before traveling,No
"abdominal cramps, nausea, bloating, weakness",Diarrhea,Loperamide,Dadimashtak Churna,ORS solution,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"dryness, cracking, burning",Lip Pain,Antiviral Cream,Coconut Oil,Protect from sun,Keep lips moisturized and protected from environmental factors,No
"clicking sound, instability, swelling, knee ache, stiffness",Knee Pain,Diclofenac,Nirgundi,Elevation,Maintain healthy weight and do regular low-impact exercises for knee health,No
"tenderness, bleeding, redness, swelling, gum ache",Gum Pain,Topical Gels,Khadira,Antiseptic mouthwash,Good oral hygiene prevents most gum problems,No
"mucus, chest discomfort",Common Cough,Dextromethorphan,Mulethi,Honey with warm water,Most coughs resolve with symptomatic treatment and adequate rest,No
"collapse, blue skin, no pulse",Cardiac Arrest,Dopamine,Drakshasava,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"insomnia, digestive issues, difficulty concentrating, mood changes, fatigue",Jet Lag,Light Therapy,Jatamansi,Light exposure,Gradually adjust to new time zone and get sunlight exposure,No
"early satiety, weight loss",Loss of Appetite,Digestive Enzymes,Jeera,Ginger tea,Eat small frequent meals and include favorite foods to stimulate appetite,No
"tongue soreness, taste changes, difficulty eating",Tongue Pain,Pain Relievers,Honey,Good oral hygiene,Most tongue pain resolves with proper oral care and avoiding irritants,No
"headache, sweating, dizziness",Motion Sickness,Ondansetron,Mint,Look at horizon,Take motion sickness medication before traveling,No
"pitch changes, voice loss",Voice Problems,Humidifiers,Ela,Voice rest,Rest your voice and stay hydrated for vocal cord healing,No
"concentration problems, fatigue, appetite changes",Depression,Escitalopram,Saraswatarishta,Social interaction,Depression is treatable - seek professional help and maintain social connections,No
"chest discomfort, dizziness, blurred vision, headache, neck pain",Hypertension,Hydrochlorothiazide,Arjuna,Reduce salt intake,High blood pressure can be controlled with medication and lifestyle changes,No
"mucus, hoarse voice, dry cough",Common Cough,Codeine,Sitopaladi Churna,Gargle with salt water,Most coughs resolve with symptomatic treatment and adequate rest,No
"slow wound healing, fatigue, bone pain",Vitamin D Deficiency,Calcitriol,Praval Pishti,Vitamin D rich foods,Regular sunlight exposure and vitamin D supplements help,No
"dry cough, throat irritation, chest discomfort",Common Cough,Bromhexine,Tulsi,Steam inhalation,Most coughs resolve with symptomatic treatment and adequate rest,No
"constipation, vomiting",Appendicitis,IV Fluids,Triphala,Do not eat or drink,Appendicitis requires immediate surgery - do not delay treatment,Yes
"fullness in ear, ear ache, itching, hearing difficulty",Ear Pain,Paracetamol,Dashmoola,Rest,Most ear pain resolves with proper treatment and care,No
"swelling, difficulty breathing, charred skin, shock",Severe Burns,Antibiotics,Kumari,Remove from heat source,Severe burns need immediate medical attention to prevent complications,Yes
"sweating without heat, wet clothes, profuse sweating, social embarrassment",Excessive Sweating,Aluminum Chloride,Witch Hazel,Antiperspirants,Use clinical strength antiperspirants and wear breathable clothing,No
"difficulty concentrating, muscle tension, irritability",Anxiety,Propranolol,Jatamansi,Deep breathing exercises,Practice relaxation techniques and consider counseling for anxiety management,No
"weakness, pain with gripping, stiffness, elbow ache, swelling",Elbow Pain,Physiotherapy,Nirgundi,Avoid repetitive activities,Elbow pain improves with rest and avoiding aggravating activities,No
"rapid pulse, widespread rash, swelling of face",Severe Allergic Reaction,Hydrocortisone,Guduchi,Remove allergen,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"non-productive cough, throat irritation",Dry Cough,Codeine,Sitopaladi Churna,Honey with warm water,Stay hydrated and use humidifier to soothe throat,No
"bloating, heartburn, loss of appetite, stomach pain",Gastritis,Sucralfate,Yashtimadhu,Coconut water,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"vomiting, loss of appetite, fever, constipation",Appendicitis,Ceftriaxone,Kutaj,Apply heat carefully,Appendicitis requires immediate surgery - do not delay treatment,Yes
"itching, watery eyes, red eyes, sensitivity to light, burning",Eye Irritation,Artificial Tears,Honey,Avoid rubbing,"Avoid allergens and irritants, practice good eye hygiene",No
"cloudy urine, fever, pelvic pain",Urinary Tract Infection,Nitrofurantoin,Gokshura,Drink plenty of water,Complete full course of antibiotics and increase water intake,No
"pelvic pain, cloudy urine, strong urine odor, fever, urgency",Urinary Tract Infection,Norfloxacin,Punarnavadi Mandur,Cranberry juice,Complete full course of antibiotics and increase water intake,No
"burning sensation, hives, scaling, dry skin, itchy skin",Skin Allergy,Prednisolone,Neem,Aloe vera gel,"Identify and avoid triggers, keep skin moisturized",No
"blue skin, unable to speak",Choking,Emergency Airway Management,Clear airway first,Back blows,Perform Heimlich maneuver immediately and call emergency services,Yes
"loss of consciousness, panic, clutching throat",Choking,Oxygen,No herbal treatment during emergency,Heimlich maneuver,Perform Heimlich maneuver immediately and call emergency services,Yes
"confusion, nausea, high body temperature, hot dry skin, headache",Heat Stroke,Cooling Measures,Coconut Water,Remove excess clothing,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"swelling, tenderness, pain, discoloration",Bruises,Elevation,Arnica,Rest,Most bruises heal naturally within 2-3 weeks,No
"numbness, stiffness",Cold Hands,Massage,Ginger,Wear gloves,Keep hands warm and improve circulation with exercise,No
"stiffness, poor circulation",Cold Hands,Warming Devices,Black Pepper,Massage hands,Keep hands warm and improve circulation with exercise,No
"chest discomfort, involuntary spasms, difficulty eating, hiccup sounds",Hiccups,Baclofen,Ginger,Sugar,Most hiccups stop on their own within minutes to hours,No
"shortness of breath, chest discomfort, neck pain",Hypertension,Amlodipine,Arjuna,Meditation,High blood pressure can be controlled with medication and lifestyle changes,No
"gum ache, tenderness, swelling",Gum Pain,Professional Cleaning,Yashtimadhu,Gentle brushing,Good oral hygiene prevents most gum problems,No
